id,name,reagents,tier,decision_q,choiceA,choiceA_correct,choiceB,choiceB_correct,choiceC,choiceC_correct,choiceD,choiceD_correct,prod_type,prod_c1,prod_c2,prod_stereo,rule,trap_id,firstMove,shortcut,whyTrapTempting,smiles
hbr,Hydrohalogenation,HBr,toggle,Where does the Br end up?,More-substituted carbon (Markovnikov),true,Less-substituted carbon,false,,,,,add,H,Br,,"H-Br adds Markovnikov. The H+ hits first and the carbon left holding the + charge is the more-substituted one (most stable cation) — so Br lands there.",hbr_perox,Check for ROOR (peroxide) — absent means Markovnikov applies,The rich get richer — Br goes to the more-substituted carbon,Same HBr reagent; ROOR looks like a minor additive but flips the entire regiochemistry,
hbr_perox,Radical Hydrobromination,"HBr, ROOR",trap,Where does the Br end up?,Less-substituted carbon (anti-Markovnikov),true,More-substituted carbon,false,,,,,add,Br,H,,"Add peroxides and the mechanism flips to radicals. The most stable RADICAL is on the more-substituted carbon so Br is forced onto the LESS-substituted one. Anti-Markovnikov. ONLY HBr does this.",hbr,Spot ROOR — that single word reverses the regiochemistry entirely,Peroxide = backwards Br. HCl and HI have no radical pathway.,Students default to Markovnikov for any HBr reaction and treat ROOR as a minor detail,
hydration,Acid-Catalysed Hydration,"H2O, H2SO4",toggle,Where does the OH end up?,More-substituted carbon (Markovnikov),true,Less-substituted carbon,false,,,,,add,H,OH,,"Water adds Markovnikov via a carbocation. OH lands on the more-substituted carbon. Because there is a real carbocation intermediate the skeleton can REARRANGE.",hydroboration,Markovnikov OH — then ask: can the carbocation rearrange?,H2O + H+ = Markovnikov alcohol with possible rearrangement,Both acid hydration and hydroboration give an alcohol but regiochemistry is exactly reversed,
oxymerc,Oxymercuration,"1) Hg(OAc)2, H2O  2) NaBH4",recognise,What is the signature of this reaction?,Markovnikov OH with NO rearrangement,true,Anti-Markovnikov OH,false,,,,,add,H,OH,,"Same Markovnikov OH as acid hydration but the mercurinium ring blocks rearrangement. When a substrate WOULD rearrange under acid conditions this is the clean Markovnikov reagent.",hydroboration,Two-step with Hg reagent means Markovnikov alcohol — no rearrangement possible,Mercury = Markovnikov without the mess,Both give OH on the more-substituted carbon; the critical difference is rearrangement possibility,
hydroboration,Hydroboration-Oxidation,"1) BH3·THF  2) H2O2, NaOH",toggle,Where does the OH end up?,Less-substituted carbon (anti-Markovnikov),true,More-substituted carbon,false,,,,,add,OH,H,syn,"Boron is bulky and goes to the LESS-crowded carbon; oxidation swaps B for OH in place. Result: OH on the less-substituted carbon anti-Markovnikov and syn addition.",oxymerc,BH3 = anti-Markovnikov + syn addition — two facts to lock in,Boron is shy — avoids the crowded (more-substituted) carbon,Both hydroboration and oxymercuration give alcohols but regiochemistry is exactly reversed,
br2,Halogenation,Br2,toggle,How do the two Br atoms add?,Anti (opposite faces),true,Syn (same face),false,,,,,add,Br,Br,anti,"Br2 makes a three-membered bromonium ion; the second Br- attacks from the back. Vicinal dibromide always ANTI addition.",halohydrin,Bromonium ion formed — back-side attack gives anti vicinal dibromide,Br2 alone = anti vicinal dibromide every time,Both Br2 and Br2/H2O go through bromonium; the nucleophile changes everything,
halohydrin,Halohydrin Formation,"Br2, H2O",trap,Where does the OH go?,More-substituted carbon (Br on the less-substituted),true,Less-substituted carbon,false,,,,,add,Br,OH,anti,"Water hijacks the bromonium ion. It attacks the more-substituted carbon (more delta+) so OH lands there and Br takes the less-substituted carbon — anti addition.",br2,Br2 + H2O — water is the nucleophile; OH goes to more-substituted carbon,Water hijacks bromonium at the richer carbon,Looks identical to plain halogenation until you notice the water,
h2,Catalytic Hydrogenation,"H2, Pd/C",recognise,What is the product?,The alkane — two H atoms add with syn stereochemistry,true,An alcohol,false,,,,,alkane,,,syn,"H2 on a metal surface delivers both hydrogens to the same face (syn). The pi bond is gone — you get the saturated alkane.",,"H2 + metal catalyst = syn hydrogenation to alkane — full reduction",Pd/C is always the same: syn addition and full reduction to the alkane,Students sometimes confuse with hydration since both involve adding H; product is alkane not alcohol,
oso4,syn-Dihydroxylation,"OsO4 (or cold KMnO4)",toggle,What diol do you get?,cis / SYN diol — both OH on the same face,true,trans / ANTI diol,false,,,,,diol,,,syn,"OsO4 (or cold dilute KMnO4) clamps onto one face and delivers both OH groups together — a SYN (cis) vicinal diol. Hot concentrated KMnO4 cleaves instead.",,"OsO4 or cold KMnO4 = syn diol (both OH from the same face)","Os clamps — two oxygens delivered together from one face, geometry preserved",Hot KMnO4 cleaves the double bond; cold KMnO4 dihydroxylates — temperature and concentration matter,
mcpba,Epoxidation,mCPBA,recognise,What is the product?,An epoxide (3-membered O ring) with retained geometry,true,A vicinal diol,false,,,,,epoxide,,,syn,"mCPBA delivers a single oxygen across the double bond in one concerted step — an epoxide with the alkene geometry fully preserved.",,"mCPBA = single oxygen delivery = epoxide with geometry retained",Peracid = epoxide. Geometry is locked in.,Students confuse with OsO4 since both involve oxygen addition to the double bond,
ozone,Ozonolysis,"1) O3  2) Zn, H2O",recognise,What does ozone do to the C=C bond?,Cleaves it completely into two carbonyl fragments,true,Adds two OH groups (diol),false,,,,,cleave,,,,"Ozone scissors the double bond completely. Each alkene carbon becomes a C=O. Count the substituents on each carbon to determine aldehyde vs ketone.",,"O3 = total cleavage — count substituents to identify aldehyde vs ketone",Ozone scissors: C=C becomes C=O + O=C,Students confuse with dihydroxylation since both involve oxidation; ozonolysis breaks the bond completely,
